doc_id,topic_00,topic_01,topic_02,topic_03,topic_04
260,0.6122224,0.22029072,-0.3527716,-0.43876585,-0.5096004
261,0.97944856,0.12015245,0.020073641,-0.05129583,-0.15234758
262,0.9912772,0.038795155,0.04746087,-0.028340718,-0.11317532
263,0.75294805,-0.46243548,0.27068573,-0.3014039,-0.23474994
264,0.9211253,0.015197863,0.005855573,0.36628297,-0.1307662
265,0.851437,-0.4263778,-0.02846586,0.25734246,0.16193093
266,0.7533968,0.6421963,-0.085043475,-0.11281511,-0.0041976874
267,0.76810664,0.6239645,-0.06990848,-0.12519455,-0.0109432
268,0.8921185,-0.30672106,0.33038637,-0.020387502,0.021814972
269,0.8082309,0.50043976,0.30969235,0.008815062,0.01832332
270,0.8067666,0.50394386,0.30806956,-0.0031764233,0.015849976
271,0.8358243,0.49709946,-0.0720268,-0.0539473,-0.21492249
272,0.8377155,0.49650484,-0.06961335,-0.041176237,-0.21254222
273,0.8604515,0.3294087,-0.28471962,0.0058563445,0.2646009
274,0.7792123,0.5336605,-0.18019724,-0.1989642,-0.18967608
275,0.7905981,0.5395518,-0.14974901,-0.18370205,-0.16633505
276,0.78136677,0.51713413,-0.1615111,-0.1958864,-0.23996033
277,0.8442725,-0.5279608,-0.006568143,0.063798614,-0.06593858
278,0.8534773,-0.44113022,0.07035063,-0.26835018,0.004424884
279,0.9652731,-0.03784589,0.14535874,-0.07180454,-0.20132212
280,0.71206814,0.61584693,-0.20377816,-0.099179246,-0.24965884
281,0.70461816,0.6113896,-0.20977154,-0.12017498,-0.26696423
282,0.7082054,0.61091644,-0.20998193,-0.13486093,-0.2508913
283,0.73246336,0.5852753,-0.246682,-0.088430986,-0.22864439
284,0.74184567,0.5775079,-0.24305388,-0.07390367,-0.22718447
285,0.71241605,0.612903,-0.13428557,-0.13845126,-0.28215602
286,0.71132666,0.61376774,-0.1304673,-0.14531484,-0.2813635
287,0.8215214,-0.52759945,-0.08172399,-0.013008664,0.19973293
288,0.8391658,0.26104876,0.029884342,0.45437124,-0.14250629
289,0.8857215,0.35532078,0.04717093,0.27866983,-0.09676074
290,0.8762877,0.24106158,-0.23120905,0.013281124,0.3469512
291,0.66751546,0.50633055,-0.07677488,0.540485,-0.005835864
292,0.7119297,0.35558933,0.1923309,0.489619,0.2999908
293,0.83113927,-0.112114474,-0.017804425,0.17417566,0.515736
294,0.8650987,0.47431162,-0.06340336,0.0053960606,-0.15027845
295,0.8634478,0.47478926,-0.065180466,0.011897007,-0.15698099
296,0.76102364,0.570568,-0.04530925,0.2861683,-0.106536396
297,0.75916016,0.5697936,-0.04347209,0.29511684,-0.10013688
298,0.75916016,0.5697936,-0.04347209,0.29511684,-0.10013688
299,0.8647911,0.4357579,-0.09008164,-0.04841203,-0.227581
300,0.8653916,0.46778798,-0.14506431,-0.014252026,-0.104999624
301,0.8617861,0.4725586,-0.1427314,-0.028782114,-0.113191895
302,0.7988789,0.4178553,-0.27557355,-0.23331037,-0.2383588
303,0.6854122,0.17415777,-0.31185284,-0.49967238,0.39109385
304,0.8347189,0.16658361,0.29373166,0.43291646,-0.042419452
305,0.84342337,0.16051902,0.30704817,0.40848872,-0.041580305
306,0.857889,-0.29205874,0.27846488,0.23040862,-0.21931113
307,0.81202865,0.22705199,-0.4974286,-0.055413008,0.19634435
308,0.92013675,-0.35724717,-0.094262004,0.11675561,0.056618147
309,0.8498182,0.4031432,-0.11682335,0.30485904,0.09326151
310,0.89728,0.24642815,0.024515396,0.32336232,-0.17028694
311,0.89794445,0.24916849,0.02728381,0.31948367,-0.16969605
312,0.8908732,-0.35109463,-0.05574226,-0.17982149,0.2182534
313,0.7600414,-0.55161387,0.20088468,-0.023418399,-0.27776965
314,0.7307144,-0.42840108,0.30312485,0.22681129,-0.37309656
315,0.7656924,0.54073375,-0.24636629,-0.18708934,-0.16007282
316,0.76258343,0.54082733,-0.25525817,-0.19639836,-0.14914136
317,0.801555,0.5274078,-0.03598797,0.27447462,-0.05214586
318,0.8015295,0.5272707,-0.03579795,0.27459037,-0.053428724
319,0.8618494,0.43453386,-0.15400495,-0.03559496,0.20835392
320,0.86197793,0.43393654,-0.15358086,-0.03468777,0.20953025
321,0.8030135,0.45421928,-0.23548274,-0.20669164,0.2251236
322,0.8022402,0.45950982,-0.25564203,-0.21726348,0.18084563
323,0.80430007,0.4559996,-0.26088792,-0.21139888,0.18003811
324,0.7298616,0.5962709,-0.33171386,-0.00026317328,0.041579153
